,comment,sentiment,positive,negative
100,그루밍족 뭘찍어 샤샤샤 부르니까 쬐끔봐줌 오늘도 열심히 땅굴파기의 길만 걷는다! 깨끗한 똥꼬 자랑컷 농가놀이터 버섯배양텐트 성악곡이 틀어져있고 소들이 우엉우엉 노래부르던축사 손가락따라다니는 애기...,Negative,0.0035632639192044735,0.9964367151260376
103,걍 그루밍족? 남자새끼가 좀 꾸몄네 싶은 느낌인데 지들끼리 존나 서로 스캔하는 분위기가 있긔 특히 클럽 앞에서 ㅇㅇ,Negative,0.009163009002804756,0.9908369779586792
107,호구남이라도 찾아서 빨대 꽂는거고 혼기 놓친애들은 노처녀되서 매번 여행가고 꾸미곤하는데 주변친구들 줄어들고 갈곳은 나이트뿐이고 먹버당하니 마음의 상처만 얻는거지 ㅅㅂ 답없다 그냥 미혼 그루밍족해라,Negative,0.0015366936568170786,0.9984633326530457
108,잘한가 싶은 화유기 입덕의 계기는 집사부일체에서 팩하는 거랑 성재 팩준 씬 이유는 모르겠음 내가 그루밍족이 취향도 아닌데ㅡㅡ 갑자기 폴인럽 참내원 그냥 심심하니 봐볼까 하며 신서유기 시즌1 찾아보고...,Negative,0.11136990785598755,0.8886301517486572
109,"자기관리의 신들임. 그루밍족이라는 남자보다도 2,3배쯤은 더한다. 그러니까 자고 일어나도 냄새가 거의 없지. 축적되어 온 향기들때매. 잘때도 향수 뿌린다고함. - dc official App",Negative,0.042577750980854034,0.9574222564697266
110,그루밍족<<이라고 남자성형정보 알려주는 앱있는데 윤곽3종 양악 한거보면 하나같이 병신같은얼굴에서 존나 ㅍㅅㅌㅊ이상이 되어있음 이거맞는거임?? 뼈깎는거하면 시간지날수록 피부처진다는데 걍 리프팅하면...,Negative,0.0688631534576416,0.9311367869377136
111,살도 좀 빼구 말랐으면 찌우고 그리고 오프 가자구 그루밍족 오타쿠가 되자구,Negative,0.0013898644829168916,0.9986101388931274
112,귀에 피어싱 10개씩 박는거 보면 ㄹㅇ 그루밍족 확실 ㅇㅇ 이쁜여자는 이제 질려서 참한 슬기빠는듯 ㅇㅇ; - dc official App,Negative,0.004112524911761284,0.9958874583244324
117,한때 내가 그루밍족이다 하는 애들은 다 랩시리즈썼었는데 요샌 별로 인기없는듯 요샌 모가 대세야? - dc official App,Negative,0.049766846001148224,0.9502331614494324
118,니들 그루밍족들 아니냐 투블럭해도 옆머리 덮는 윗머리가 떠서 레고 머리같은데 다운펌해도 되냐고 시발색기들아,Negative,0.1130032017827034,0.8869968056678772
128,"<a class=""tit_txt"" href=""https://gall.dcinside.com/board/view/?id=baseball_ab&amp;no=5946340"" target=""_blank"">수염 테간지나게 기를려면 발모제 써야 하는지??</a>",Negative,0.09306725859642029,0.9069327116012573
138,"<a class=""tit_txt"" href=""http://gall.dcinside.com/board/view/?id=baseball_new4&amp;no=12671945"" target=""_blank"">한남들이 꾸미긴 존나게 꾸미잖어</a>",Negative,0.003158526960760355,0.9968414902687073
140,"<a class=""tit_txt"" href=""http://gall.dcinside.com/mgallery/board/view/?id=kdani&amp;no=41464"" target=""_blank"">미용만화 보고왔는데 - 강다니엘 마이너 갤러리</a>",Negative,0.13253790140151978,0.8674620985984802
145,능국잦에 끼순이 별로 없는데,Negative,0.047657161951065063,0.9523428082466125
146,요즘 남자들도 메이크업 많이 합니까?,Negative,0.07866433262825012,0.9213356971740723
147,★★★원성이 자자해서 말리는 판국이니 반사슬로건 나눔취소,Negative,0.08169881999492645,0.9183012247085571
149,그루밍 성범죄는 대체 뭐하는 성범죄냐,Negative,0.002837273757904768,0.9971626996994019
150,요즘 30대 이하 남자들 마니 꾸미더라,Negative,0.019059741869568825,0.9809402823448181
