,comment,sentiment,positive,negative
38,헐 영상에 나온 분들 젠더감수성이 높으신 거 같아요... 스스로를 꾸미고 화장하시는 거 정말 보기 좋습니다ㅎㅎ 멋져요!,Positive,0.9812047481536865,0.018795281648635864
39,진짜 다 맞는말 다들 멋져요!,Positive,0.9964582920074463,0.0035417424514889717
40,진짜 다들 맞는 말...!,Positive,0.883644700050354,0.11635534465312958
41,화장하는 남자들 얼마나 멋있는데........언젠가 편견없이 자신의 개성을 자유롭게 표현하는 세상이 왔으면 좋겠다,Positive,0.9906991124153137,0.009300924837589264
43,후니언님 착하게 말하시는 거 쨩!,Positive,0.9904795289039612,0.009520473890006542
44,진짜 다 맞는말이라 댓글로 뭐라 할 말도 없음 ㅜㅜ 진짜 하고싶던 말 다 해주시네,Positive,0.9631611108779907,0.03683893010020256
47,이상한거아닌데 상처받지 않았으면 좋겠다! ️,Positive,0.997177004814148,0.0028230012394487858
49,남자 화장 잘하는 거 너무너무 좋아요!앞으로도 지금 가지싱 생각 쭉 가져주시고 그런생각 가진 사람들이 많아 졌으면 좋겠어요,Positive,0.9982193112373352,0.0017807248514145613
50,정말로 이런 좋은 멘탈을 가지고 계시는 분들이 계셔서 저는 정말로 좋습니다 진짜로 남자다움과 여자다운게 있을까요 @-@.. 존경스럽스ㅂ니당 저는 남자가 화장하는 것이 멋지다고 생각해요 자신을 꾸밀 줄 아는 남자잖아요 ! 좋은 영상 잘 봤습니당,Positive,0.9970592260360718,0.0029407143592834473
51,아 후니언님ㅜㅜㅜㅡㅜ너무좋아ㅜ 아니 뭐 남자분들도 꾸미고싶어서 꾸미시는데 괜히 다른사람들이 더 난리ㅋㅋㅋㅋ남자분들이 화장하시는거 너무 멋지고 좋다고생각하시는데 솔직히 안꾸미는것보다 꾸미는게훨씬좋음ㅋㅋㅋ자기관리 철저한사람처럼보이고 더  잘생겨보임,Positive,0.9937703609466553,0.006229648366570473
52,"자신을 가꾸고 꾸밀줄 아는, 차별 없는 젠더의식을 가지시는 이 분들이 진정 멋지고 아름다운 분들이시네요",Positive,0.9975147843360901,0.0024852228816598654
53,와 진짜 다들 너무 멋지셔요ㅠㅠㅠㅠ,Positive,0.9967092871665955,0.00329072424210608
55,와 진짜 눈썹이 너무 깔끔하고 예뻐서 마음에 평화가 온다ㅠㅜㅜㅜ아 너무좋아,Positive,0.9982616305351257,0.0017384064849466085
56,당당하고 멋있다ㅎㅎ,Positive,0.9973598718643188,0.0026401018258184195
58,모든 분야에 그들만의 소유라는 개념은 없죠. 맨스뷰티크리에이터분들의 용기와 자신감을 응원해요!,Positive,0.997999370098114,0.002000631531700492
59,전 꾸미는 남자들이 너무 멋지다고 생각해요! 남자 뷰티 유튜버가 많이 늘었으면 좋겠어요ㅠㅁㅠ 편견 없는 세상이 언젠가는 오겠죠?,Positive,0.9963132739067078,0.0036866681184619665
62,내가 나다운 게 바로 남자(여자)다운거다 우와 이거 정말 명언. 가슴에 콕 들어와서 박히네요 좋아요.,Positive,0.9983106255531311,0.0016893841093406081
63,피부 드럽다고 관리안한다는 편견도 안가지셨으면 ㅠㅠ 학생이기도하고 여드름 피부에 학생신분이라서 힘든생활인데 여드름 피부등 더러운 분들이 오히려 더 관리를 많이 하는데 안사라지고 다른사람 시선도 신경쓰이니 너무 힘들어요.. 제 친구는 관리도안하고 아무것도 안바르는데 피부트러블이 없는데 말이죠.. 피부 트러블 같은건 관리해도 안사라지는 경우가 많으니 그런 편견은 안가지셨으면좋겠어요 다른분들.피부관리 진짜 힘들어요 여드름있다고 관리안하는 사람으로 생각할까 무섭네요 늘 신경쓰이고 힘들게사는데,Positive,0.9944955706596375,0.005504413042217493
64,아 진짜 너무 보기 좋다 남자다움 여자다움이 어디있어 자기가 꾸미고 싶으면 꾸미는 거지,Positive,0.9922709465026855,0.0077290660701692104
65,다들 부담스럽지 않게 깔끔하게 잘하신듯...(개인적으로 진한 화장이 취향이 아님) 어 근데 사실 저기서 더 진하게 한다 해도 누구도 뭐라할 권리는 없지 자기 하고싶은대로 하고 사는거니까ㅋㅋㅋ 암튼 영상에 나온분들 전부 멋져오,Positive,0.997269868850708,0.002730154898017645
67,남성스러움 여성스러움이라는 말부터가 참 아이러니하지만... ㅋㅋ 내가 남성이거나 여성인 이상 그 자체로 남성스럽고 여성스러운 거라고 생각해요 너무 멋지신 분들... ㅠㅠ,Positive,0.9983085989952087,0.001691398210823536
68,크 레오제이님 우연히 유툽 발견하고 완전 팬 됐는데 말씀도 너무 예쁘게 하심 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 대존잘 ㅠㅠㅠㅠㅠ,Positive,0.9982327818870544,0.0017671636305749416
69,이런 차별 진짜 없어졌음 좋겠다,Positive,0.9942741990089417,0.005725788418203592
70,화장하는남자 개성있고 여자의마음도 잘알아주고 더 남자화장하시는분께 더배우고 왜?욕을하지 너무 좋으신 분들인데 항상 응원할께요 !더많은 영상올려주세요!더많은 남자화장하시는분들이 늘어났으면 좋겠어요,Positive,0.9973382949829102,0.0026616635732352734
71,꾸미기 싫으면 꾸미지 않을 권리도 존중 받을 수 있으면 좋을 것 같아요!이제 여자는 꽃이 아니라 일도 하는 같은 동료인걸요,Positive,0.9874909520149231,0.012509034015238285
72,우리나라 사람들 오지랖진짜넓죠,Positive,0.9921883940696716,0.007811617571860552
73,와 다들 피부 깨끗해보이고 자기관리 잘해보이고 오히려 더 좋은걸요,Positive,0.9954058527946472,0.0045941672287881374
76,레오제이님 생각하시는게 너무 멋지시다,Positive,0.9167546033859253,0.08324544131755829
78,다른분들도 이렇게 생각좀 바꾸셨으면 좋겠다 와,Positive,0.9956945180892944,0.0043054744601249695
79,"예전에 후니언님 영상이 너무 재미있어서 친구들에게 링크를 보냈더니 친구들이 후니언님 게이아니냐구 물었던게 생각나네요.왜냐고 물으니까 너무 여성스럽게 말해서 그렇게 생각했데요.성격을 남성스럽다, 여성스럽다고 정의하는 자체가 성고정관념아닐까 싶어요. 후니언님은 그냥 후니언님 성격일 뿐인데요. 있는 성격 그대로, 관심있어하는 분야를 당당히 보여주시는게 유튜브를 보면서 자라나는 아이들에게 정말 좋은 영향력을 끼칠것같아요. 성고정관념도 조금씩 자연스럽게 깨지게 될것같구요. Be yourself! 늘 어려운 처음가는 길을 헤쳐나가면서 당당한 모습에 많은 감동을 받습니다.멋있어요~~",Positive,0.9982119798660278,0.0017880202503874898
80,근데 여기 나오는 남자분달 화장 다 잘하고 다 잘어울령,Positive,0.9974371790885925,0.0025627941358834505
81,세상에 저런남자들만 존재하면 얼마나 좋을까 홌홌 ..,Positive,0.9889588356018066,0.011041136458516121
82,자신을 가꿀 줄 아는 관리하는 남성분들 최고^^7,Positive,0.9977939128875732,0.0022061180789023638
85,자기관리 할줄아는 남자 너무 좋은데,Positive,0.9976303577423096,0.002369638765230775
86,이렇게 깨어있는 생각을 가진 사람들이 부모세대가 되면 지금과 얼마나 다른 세상이 되어있을까 궁금해진다..,Positive,0.9981203675270081,0.0018796237418428063
87,시바 다 잘생기셨어... 레오제이분 잘생기셨어... 다른 분들도 다 잘생기셯ㅅ어... 슈바 사랑해요...ㅜㅜㅜㅜㅜㅜㅜㅡㅠㅜㅜㅜㅜㅜㅜ,Positive,0.998317301273346,0.0016827197978273034
88,남자연예인들도 다 화장하는데 꼭 일반인 남자들이 화장하면 이상하게 생각하더라고요 자신을 가꾸시는 모습 너무 보기 좋습니당,Positive,0.9982870221138,0.0017130011692643166
90,남자가 화장하면 안됀다는 편견은 버려야합니다.,Positive,0.9973753690719604,0.0026246013585478067
91,완전 공감하고 멋지다 아니 그 잘나고 잘생긴 아이돌 배우 다 화장하고 더더 잘생겨보이려고 노력하는데 왜 아니신분들은 노력도 안하면서 노력하는 사람들을 아니꼽게 보는지 이해할수 없다남자가 나다우면 남자다운거라는말이 정말 좋네요 다같이 가꾸면서 나 잘난맛에 삽시다 화이팅,Positive,0.9981299042701721,0.0018700880464166403
92,사란들의 편견을 없에 주는 멋진 영상이네요,Positive,0.9962513446807861,0.0037486949004232883
93,"서양 미남: 근육질 몸, 깔끔한 머리, 남자답게 잘생긴 얼굴한국 미남: 멸치, 무지개색 머리, 화장 떡칠",Positive,0.9764342904090881,0.023565735667943954
94,다들 말도 잘하시고 소신있으시고! 악플에 상처받지 마시고 '나 다운게 나 다운 것' 응원합니다~,Positive,0.9821082949638367,0.0178916547447443
95,진짜 다 옳은 말이다. 제발 화장하는 남자들한테 뭐라하지마 ㅋ 니들이 안꾸미는거야,Positive,0.8941546678543091,0.1058453619480133
96,화니귀엽다..옷도잘입,Positive,0.9979968070983887,0.002003166824579239
