star,comment
5,"화장품이란 여자들만 쓰는거라 생각하시는 신랑44살 되어도 기초도 안바름 ㅜㅜ 피부가 좋치 않기에 다슈 만큼은 기대만빵 커버라도 잘되면 쓰실거 같아서 시도~~!!미백,주름,자외선 차단3중 SPF50+/PA+++수분 ,피부진정,커버력 까지~ 기대만빵비교 해보기 위해서 아수라 백작 처럼 반만 두들겨줌피부에 닿는 순간 괜찮으신지 가만히 계심 일단 촉촉하고 잘발림 각질은 조금 있고 건조한 피부가 아니라서 그런지 발림이 좋흠약하게 두드리기전 아끼지않고 팍팍 발라드렸더니 와우ㅋㅋ차이가 심하게남ㅎㅎ이리보고 저리봐도 역시 한곳이 더 피부가 좋아보이네요 (확대)커버력도 좋코 발림도 일단 여기까지 맘에듭니다요즘은 마스크에 묻어나냐 덜 묻어나냐 등등 볕이 따가워지는 계절이 오는만큼 자외선등등 예민해지기땜시  여자인 재가 써보려합니다ㅎㅎ 여자가 써도 좋을듯~~♡저도 피부가 좋치않고 건성인지라 과연 커버력과발림이 어느정도 되는지...두근두근! 궁금하네용~ 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다."
5,"비비,cc크림 사용하시는 남자분들 무적권 추천!!저처럼 '아 비비까지는 오케이인데 쿠션까지는 좀...'네 쓰시길 권해드립니다ㅋㅋㅋ우선 저도 썬크림 대신, 피부톤업을 위해 비비크림을 사용하는 사람인데 가장 불편했던 부분이 아침에 바르고 나와서 밤이 되면 어느샌가 얼굴에 기름도 지고움직이면서, 땀흘리면서 부분부분 지워져도 활동하면서 지저분해진 얼굴에 지저분한 손을 대는게 매우 꺼려져서 그저 아쉬운대로 지내고 있었습니다.남성용 쿠션이 있다는건 알고 있었지만 사용하는 모습에 대한 거부감이 조~~금 있어서(스스로가) 사용을 안 했었다가 이번에 3주 가까이 사용했을까요여태까지 안 쓰고 있던 스스로를 반성했습니다...저는 이 제품 구매하고나서 외출 시 비비크림 사용하고, 쿠션은 휴대하면서 종종 사용하고 있는데 비비크림만큼 자연스럽게 커버 잘 되고 휴대성도 좋아서 외부에서 간편히 보정하기가 너무 좋습니다.바르는 제품들은 아무래도 집 밖에서 다시 바르기 조금 불편해서 포기하고 지냈는데 고민 단번에 해결...가격도 저렴하고 저처럼 메인으로 사용하지 않고 서브 용도로 사용하신다하면 사용기간도 낙낙할테니 가성비도 good.물론 제품 자체가 톤보정 좋고 발림감도 부드럽게 좋아서 메인으로 사용하셔도 좋을듯 합니다."
5,이제는 남자도 관리를 하기 위해 가끔식 얼굴에 베이스를 바르곤하죠! 썬크림과 비비크림이 기본적으로 대중화 되어 있는 요즘 남자들도 많이 바르더라고요 그래서 남자친구 선물해주려고 다슈 맨즈 아쿠아 매트 비비 쿠션를 선물해주려고 구매했어요! 다슈 맨즈 아쿠아매트는 자외선 차단기능과 주름개선 또 미백을 위한 기능성 제품이며 무엇보다 남성제품임에도 쿠션을 이용한다는 점이 남자들에게서도 휴대하기 편하며 사용하기도 편리한거 같아서 좋은거같아요! 프리미엄 이탈리아산 탄산수함유로 각질케어 및 수분충전 쿨링효과까지 그리고 병풀 추출물 함유로 피부 진정도움까지! 피부에 바를때 떡지지 않고 밀리지도 않으면서 바로 밀착되는게 커버도 잘되서 남자친구가 엄청 마음에 들어하더라고요! 제형자체가 쫀득쫀득해서 모공 커버력을 높여주고 또 비비쿠션의 사이즈가 커서 남자들이 사용하는데도 불편함이 없는거같아요! 자외선 차단도 되면서 커버력도 좋은 비비쿠션!지속이 오래되고 수정화장도 굳이 안해두되는 점에 남자친구가 너무 마음에 들어해서 제가 다 기분이 좋네요~ 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.
5,여성용인줄알고 무료체험단 쿠폰받았는데..후앙~ㅠ남성꺼네요.ㅠ 저희 신랑이 부럽부럽네요.ㅋㅋㅋ첨에 머냐고 시큰둥하던 저희신랑~바르고나서 얼굴표정이 바뀌더니~좋아 죽네요.ㅠ주말에 바르고 나갈꺼라고 들떠있네요.어린애마냥요.ㅋㅋ우선 저희신랑 심각한 지성입니다.씻고나서 암것도 안바르고 몇분지나면..개기름좔좔~만수르씨 부럽지않게..기름부자입니다.ㅋ근데..시간이 지나도 들뜸 없이..잘 발라져있네요. 아시죠?기름 많으면얼굴 떡지는거요.ㅋㅋ 우선 신랑은 그런거없이 좋다고하네요.제가 직접 안발라봐서 모르겠지만..화장품 1도 모르는 남자가 괜츈하다고하면서 자꾸 거울보고있으면 상품성능 말해 머하겠습니까?ㅎ 좋은거죠~요거 떨어지면 구입해줘야겠네요.좋은 상품 알게해주셔서 감사합니다. 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.
5,평상시 피부톤 어둡고 트러블 잘 나는 남자친구 한테 선물 해줬더니 커버력 좋다고 외출할때마다 바르고 다니네요 민감한타입이라 저자극만 쓰는데 저자극에 미백과 주름개선 자외선 3종이나 우수한제품이라 만족도도 높네요 확실히 남성을 위한 화장품이라서 남성 피부톤에 맞춰서 나오니발라도 인위적인거 없이 자연스러운 피부톤으로 연출되서평소 자외선차단제도 안바르는 남친이 쿠션 꼬박꼬박 바르니깐 깔끔해보여서 만족스러워요거울도 큼지막하고 모양도 각져있으니 남성을 위한 쿠션이맞는것 같아요 디자인이 시원시원하다고 해야 될까요?남자들이 들고 다니기에도 어색하지 않고 깔끔한 디자인선물로 강추드려요 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.
5,신랑이 매일 제꺼 써서 남성용 알아보다가다슈 많이 들어봐서 ! 선택 했습니다이건 케이스가 통통하지 않고 납작?해서 들고 다니기가 더 편한 것 같아요!모공이 큰 남자들이 써서 자연스러워요많이 매트 하지도 않고 컬러도 자연스러워요 :) 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.
5,비비로션만 사용하다가 이번에 쿠션으로 갈아탔는데 부드럽게 잘발리고 매우 좋습니다. 유분기 없는 비비제품이라 매일매일 사용해도 부담스럽지 않고 피부가 답답하거나 하지 않으며 트러블을 일으키는 성분들이 들어있지 않아 예민한 피부를 가지신분들도 사용이 가능하며 피부 트러블이 잘 나지 않습니다.자연스러운 커버와 유분기가 없는 비비제품을 찾으시는 분들에게 이 제품을 구매해보시는걸 추천드립니다.
5,솔직히 일주일 사용해본 소감입니다.처음엔 아들 줄려구 선택했네요.아들이 여드름때매 비비크림이며썬크림이며스팟패치를 매일 사용하길래 다슈 맨즈 아쿠아 매트 쿠션을 사용해보라할려고 했는데받자마자제가 먼저 사용해 보았지요생각외로 예상외로  괜찮더라구요그래서 일주일동안 계속 사용했습니다남자용 쿠션이라 좀 그랬는데자극적이지않고 가볍고피부밀착도도 좋고 윤기도 자연스럽게퍼프로 살짝 톡 뭍혀서 얼굴에 톡톡 가볍게 두드리면 화사한 얼굴이 된답니다케이스도 멋있어요요즘 쿠션가격들이  많이  비싼거 같은데이제품은 저렴하네요착한가격이예요 쎄일을 해서 그런가요 ㅎ어찌되었든 괜찮은 쿠션하나 득템했네요마스크를 쓴 이후로 전혀 쿠션을 사용하지 않았는데 이제는 조금씩 화장을 해야겠어요피부보호  차원에서요내 피부는 소중하니까요. 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.
5,요즘 마스크 때문인지 여드름이 많이 나서 피부에 흉터가 심하게 남하버려서... 이걸 사봤어요.디자인은 너무 이뻐요.피부에 발라 보니까 확실히 효과 있고요.화장품 같은 강한 냄새도 없고 오히려 향이 좋아요.발라보면 끈적한 느낌도 없고 괜찮아요~SPF50+ 라는 것도 아주 좋죠!! 추천합니다~~~
5,원래 사용하던 아이오x 제품 다사용해서 새로 주문했는데 사이즈도 좋고 깔끔해서 좋네요 무엇보다 빠른배송 해주셔서정말 좋았습니다 ㅎㅎ 가끔 중요한 자리에 나갈땐 가볍게 피부 정돈해주고 나가는데 자주 사용할것같아요발림성도 매우 좋아서 남자분들에게 추천드립니다!!떡지지않아서 정말 좋은것같아요 ㅎㅎ~~ 다음에 또 재주문 할게요 !! 감사합니다~~
